antecedent,consequent,lift,confidence,support,netconf,amplitude,coverage
"MSFT [-14.16, 12.62]%, WMT [-16.41, 15.32]%, SPY [-6.32, 8.70]%, EEM [-19.17, 28.15]%, UUP [-2.05, 6.24]%, KO [-19.13, -2.08]%, week_number([284, 1089])","XOM [-24.33, 0.15]%",1.369,0.631,0.045,0.183,0.306,0.072
"MU [-11.51, 39.14]%, SAP [-14.47, 6.86]%, GOOGL [-16.77, 12.39]%, HYG [0.69, 6.51]%, DIA [-15.16, 13.49]%, NVDA [-34.50, 0.64]%, MSFT [-6.75, 14.10]%, XLE [-14.22, 22.28]%","week_number([157, 395])",1.769,0.361,0.019,0.165,0.486,0.052
"MU [-2.03, 36.45]%, DIA [-5.83, 15.11]%, MSFT [-8.60, 7.64]%, AAPL [-8.12, 5.68]%, month([7, 8]), GOOGL [-16.06, 10.43]%","XLE [3.93, 14.49]%",1.352,0.165,0.014,0.047,0.615,0.083
"GLD [-4.51, 13.30]%, GOOGL [-16.37, 1.07]%, DIA [-17.74, 9.12]%, MSFT [-8.98, -1.97]%","XLE [-6.11, -3.75]%",2.913,0.176,0.023,0.133,0.576,0.131
"AAPL [-24.13, 16.03]%, WMT [-4.53, 15.32]%, XLK [-15.51, 10.85]%, GOOGL [-16.83, -1.98]%, MSFT [-9.57, 16.89]%, XLE [-34.55, 27.88]%, DIA [-17.00, 4.48]%","NVDA [-9.93, -1.76]%",1.507,0.413,0.083,0.174,0.353,0.201
"EEM [4.62, 28.15]%, HYG [-11.65, 6.00]%, XOM [-24.78, 18.07]%, XLK [-17.04, 13.80]%, MSFT [-1.31, 16.89]%, DIA [-18.87, 15.11]%, XLE [-22.48, 19.27]%","NVDA [4.69, 35.73]%",2.546,0.578,0.022,0.365,0.279,0.038
"MSFT [-7.18, 5.12]%, MU [-33.52, 40.75]%, GOOGL [2.36, 6.01]%, QQQ [-16.20, 14.83]%, XLE [-14.09, 0.06]%, SPY [-3.04, 5.70]%, UUP [-3.78, 6.24]%","XOM [-20.56, -3.27]%",2.021,0.25,0.011,0.132,0.491,0.044
"AAPL [-9.68, 12.68]%, XOM [-5.23, 14.88]%, JNJ [-14.76, 7.06]%, DIA [-8.44, 13.53]%, HYG [-3.27, 7.81]%, MSFT [-6.14, 8.61]%, XLE [-7.99, 18.55]%","week_number([377, 489])",1.202,0.116,0.088,0.081,0.509,0.759
"CPB [-12.57, 20.14]%, DIA [-9.87, 1.62]%","XLE [-9.62, -4.55]%",1.218,0.074,0.059,0.065,0.537,0.798
"DIA [-11.52, 1.66]%, CPB [-13.61, 20.14]%, SPY [-18.55, 13.76]%, MSFT [-9.99, 16.89]%","XLE [-7.85, -2.88]%",1.209,0.168,0.134,0.143,0.372,0.797
"DIA [-8.33, 7.96]%, MSFT [-6.34, 16.41]%, SPY [-16.85, 13.63]%, KO [-18.54, -0.26]%, month([7, 12]), XOM [-15.77, 15.77]%","XLE [-7.50, -3.96]%",1.747,0.121,0.021,0.063,0.456,0.177
